Frequency (Hz),Trace 1 (dB?),Phase (deg),Trace 2 (dB?),Phase (deg)
0,-48.31649288003806,0,5.504750464107961,0
1.220703125,-48.620968501396405,0.3635836404563859,5.186436046264148,179.86751766197307
2.44140625,-52.271665023187,1.1405001677302613,1.611084010394503,179.88191702718925
3.662109375,-63.96000388781418,4.322862388652998,-9.329234752691754,0.2990275063550699
4.8828125,-81.48546418175727,161.95557524529966,-38.50818190021781,99.3026562312866
6.103515625,-78.54947737097847,4.015165936730519,-28.10664946050839,125.74504247421984
7.32421875,-79.12648346111456,35.400137171485525,-24.44830531628493,113.11613963406867
8.544921875,-78.83503973657152,59.87617891502779,-22.145313246471172,116.20005091260397
9.765625,-80.92766753797932,71.32407644912598,-21.407528773526575,115.63471352941426
10.986328125,-84.31403650641805,66.5516184851707,-22.30917287382372,120.20145429641619
12.20703125,-85.70253246678644,35.053893883551275,-25.524621196908512,136.3557977427282
13.427734375,-87.04203735914845,175.70737719931623,-31.621477560791366,159.3805190912413
14.6484375,-91.42984471703963,149.01421193499883,-38.065657641822966,18.520012007497474
15.869140625,-89.75429342133748,25.455738345322512,-36.61091763650062,45.75000210969041
17.08984375,-82.4443884452416,21.209355620830173,-34.31436694408561,58.98158454110339
18.310546875,-79.43080686421817,15.172318266084721,-39.36115139105431,92.84568559003168
19.53125,-77.63827589303818,11.62319891218147,-36.66290240890996,15.035283083126862
20.751953125,-76.80382463403846,172.97919554404277,-29.46488717489437,16.260205871497558
21.97265625,-77.38862084809927,149.91518947504997,-24.088787748188118,17.91767583494717
23.193359375,-79.66540672741326,139.65325595049072,-21.482535269545878,24.44389561712032
24.4140625,-84.76714790558701,151.5526998855715,-21.61753192011701,22.31811460866986
25.634765625,-89.13431153934039,61.80509434006246,-23.31583316773679,15.202190205612762
26.85546875,-81.06050032463017,97.70331822423114,-27.34277725342606,11.338404643688314
28.076171875,-78.35538482826993,104.51887049891981,-33.51934384907661,169.78423863890984
29.296875,-79.65401000698232,107.59655273857062,-34.253855967193815,149.64192895720376
30.517578125,-84.13192122187581,114.48883464936894,-32.765488515989134,172.937569885777
31.73828125,-88.4236381226704,152.68381562141553,-29.884075048038945,0.26574756749061806
32.958984375,-89.64833464741703,13.487008927204947,-26.58267789086555,171.47569497068812
34.1796875,-92.50761348433713,14.870775417029686,-24.351111323075138,163.45143644931807
35.400390625,-94.26842359073648,146.93812351977283,-24.872519018042453,143.46199611364753
36.62109375,-90.85742902864405,45.65331648298541,-25.011839190839492,113.91020542782661
37.841796875,-85.08016714764864,27.60012256721258,-24.671027166863077,102.39011900095646
39.0625,-90.09375909327733,69.12904540069015,-25.26868300250473,100.30173454699273
40.283203125,-87.35623178751749,148.10083636569794,-26.657268821513437,104.67122009777599
41.50390625,-87.18817582045652,159.34796433940758,-27.753506555802527,111.58200625386648
42.724609375,-85.63258112371662,176.81843678350768,-28.95318093150135,113.90937696890288
43.9453125,-84.22894725947394,17.214568355278352,-32.423413827414905,100.52053343214341
45.166015625,-81.77680690153389,44.92819883687172,-35.6458110189263,44.717785588871266
46.38671875,-66.55961706267831,40.5015581208121,-37.38104492930188,153.76192049363328
47.607421875,-57.1916770386424,38.06610116339191,-37.234569854914184,97.23350277876911
48.828125,-54.118613627054444,37.665116218108395,-37.50725028292627,59.41589816043099
50.048828125,-53.96776553222126,37.92659629004723,-32.71346071018714,33.67635195931383
51.26953125,-54.385574758360065,38.58768331937002,-31.005236581119696,25.578124024020184
52.490234375,-57.99627686376642,39.612200863029344,-32.141352564212326,61.25440702275667
53.7109375,-68.13380314229693,43.80017769655322,-26.671821369721698,104.13002562372337
54.931640625,-83.41999489734754,68.24703816964495,-23.15951935209697,118.14640006321832
56.15234375,-85.07836390424364,46.53007208122805,-21.26099079897502,127.39636018444894
57.373046875,-82.82384453796928,24.89142680717233,-20.488680236228028,134.1553412798497
58.59375,-83.2434156318307,8.601286469824563,-21.978631896855596,139.41903246472933
59.814453125,-82.1376344123422,161.80372951499302,-24.973422061908444,148.16253033812262
61.03515625,-80.52431212367986,136.68040381508098,-26.4051477708029,170.64867608172906
62.255859375,-78.84320194260872,121.40018097446512,-27.086671359615984,3.2968290321284326
63.4765625,-79.33411895623418,119.9306673924756,-29.231062050328088,173.30020810665127
64.697265625,-83.84345469130785,106.03560710715843,-30.871213911558584,146.75046474221023
65.91796875,-90.00681905752097,33.015562773360976,-29.283054119113782,107.14855072046905
67.138671875,-82.35825924781847,151.36651619891933,-29.872541206395177,100.87089275766307
68.359375,-77.93351891126503,156.92405825419183,-36.52773925152253,167.34692016043
69.580078125,-77.36700826518108,160.5392542152401,-28.71946399642397,43.83067312260002
70.80078125,-79.25144006016941,149.70990442887336,-24.779444586014744,52.09773894920479
72.021484375,-81.12451468239081,156.98552938355664,-24.453562597456006,57.06155993858158
73.2421875,-79.62036692459556,163.75383374308487,-27.83280633543817,64.43791329020466
74.462890625,-77.26432391083003,151.33991934733913,-34.90379078022753,96.97530214034873
75.68359375,-76.72893468402987,159.36005070949196,-32.48701764465993,147.2975456595635
76.904296875,-77.51327411498448,174.36127451398488,-27.752039304209433,162.44535950331
78.125,-81.33998434660073,174.22865091879865,-25.163002722554964,172.56362578027526
79.345703125,-90.08882157986774,66.81626474410771,-25.479720806292733,170.25363060590905
80.56640625,-78.77816675879947,120.6785704492638,-26.63476328185039,163.06223886247378
81.787109375,-76.41397603230172,130.50936984815286,-27.297973097792728,155.3811808842029
83.0078125,-77.46077065902682,137.77175913861737,-28.569815664917794,137.33245016480848
84.228515625,-80.5370073954898,134.59498487390826,-29.348046051480075,128.6442021657651
85.44921875,-99.90881175985595,177.79345866395664,-30.43803232460073,130.89235286420285
86.669921875,-80.64691308057421,114.71264611140653,-31.71628524710362,110.36123692285302
87.890625,-78.24786675695692,128.21455112123093,-32.30239428740078,90.77164230874226
89.111328125,-79.25784063844557,148.95299940338077,-34.58140048045534,103.02109495516524
90.33203125,-82.08899326564874,168.9725000922613,-37.02007403402486,132.40619881995602
91.552734375,-83.74541204922144,30.15678479772366,-38.933111263347556,178.28945810564568
92.7734375,-80.58697847147468,54.4040560475721,-32.988858769800814,18.28746325332146
93.994140625,-80.64735886419211,68.74800841096224,-29.333415058931863,25.85609844048126
95.21484375,-82.969857893573,88.18488285334521,-28.583784253692418,38.563968803072356
96.435546875,-83.00446790473717,104.76050659094145,-28.150769160056992,44.65849470883828
97.65625,-80.82959042105577,128.4023684124897,-27.398189767367608,53.85592831039934
98.876953125,-79.53311801827154,139.65129627352786,-28.02010679084908,61.4510039025954
100.09765625,-79.01199319573423,126.6728526435306,-31.004343013606217,59.812173552797894
101.318359375,-78.19944804863991,98.90714594588196,-38.42801321096267,41.16372085051257
102.5390625,-76.69294995653888,71.32164163379882,-33.86892277608715,145.56620486840472
103.759765625,-76.90045909149391,63.747248535831076,-29.682198045342854,167.4193770807042
104.98046875,-79.94810691988317,68.9460093664074,-28.67267917912629,16.278095542948154
106.201171875,-82.56213661482542,97.06996085035942,-27.17546420272607,15.053910979458044
107.421875,-79.28223932026908,141.38908686461974,-27.275851864449958,19.26118473646821
108.642578125,-76.61004015753957,153.7804576978157,-33.860485604005554,72.76709244669418
109.86328125,-78.81937299688614,152.8968878366159,-30.026646495409732,157.37916608540823
111.083984375,-88.20568518097741,178.9914849983315,-25.930778332292604,175.94634946652462
112.3046875,-83.51295673971893,100.72026398041909,-23.86463298546119,179.55293357084832
113.525390625,-78.75834899886607,113.34347660745674,-25.262886261943855,4.701755514756155
114.74609375,-76.81280690076849,114.05932556245395,-29.64809949064792,30.08415619261333
115.966796875,-76.67768284064312,109.2333035993389,-32.64379291224254,92.38887404640475
117.1875,-79.12290832857656,109.4813346003309,-30.31303706832596,141.42980055983458
118.408203125,-82.24022920135215,125.78303734316799,-29.248964248742038,166.68258481538936
119.62890625,-88.02593552487122,146.99232285956933,-27.221412946939054,9.539077696597111
120.849609375,-103.93117577665527,109.13185343136774,-26.72899580247814,16.191502667920957
122.0703125,-89.74195096529142,152.3941052383248,-28.935881471191372,3.1606883442249942
123.291015625,-82.49113534811556,158.2381178868377,-28.819311223504684,156.373086152182
124.51171875,-78.92554265840897,167.00207889050105,-27.72971413465922,147.46279906025313
125.732421875,-79.40625261598746,169.34829686021595,-26.820832480155925,145.93358410306587
126.953125,-81.51771253137723,170.38367624048928,-26.628099895282944,144.20916242333587
128.173828125,-81.87822860299077,175.93410901990427,-28.28928880993371,150.6485883851954
129.39453125,-82.59184018759038,165.46917765086653,-30.803103685640796,151.95834562888479
130.615234375,-84.87493888942453,137.9064428217169,-34.3651598856423,122.77067052883697
131.8359375,-81.8064419075167,108.24808369712778,-35.24554443672392,84.2926081035533
133.056640625,-77.57490143038088,94.91811129800965,-32.79037287679699,64.2194093618169
134.27734375,-77.73119459617413,91.03786547322349,-30.36024676578244,49.67265805920614
135.498046875,-80.49648714018417,99.38263244783438,-29.884483562590898,44.90945812077202
136.71875,-84.35056997137363,114.02435317515102,-28.813195882087804,48.19239806873414
137.939453125,-91.67517734412472,8.469746920287335,-27.075422223738585,46.1207487673065
139.16015625,-87.79899257761913,93.33868887203951,-28.412502665964467,46.41074960754577
140.380859375,-81.3528739821175,142.1018845157616,-31.014613334088526,59.459672456646544
141.6015625,-76.6619591789371,149.45939804099575,-29.413535513562344,72.40570993933007
142.822265625,-75.50216437809722,150.05979221375551,-29.637404123014974,76.5596000570191
144.04296875,-78.13392038519001,147.5468957499837,-33.767681798933246,63.69714218073731
145.263671875,-85.0851969456673,128.2433914962881,-33.07619977811876,29.582837596424255
146.484375,-91.526040334284,142.36716191564375,-29.894724690370516,26.661229583167213
147.705078125,-80.04006231589901,11.59476359530016,-29.748871444069476,37.32025120002662
148.92578125,-74.84490694677555,9.009534007440477,-30.11858491788686,60.17454979898383
150.146484375,-72.7945465531956,171.93826737775356,-27.966215801346035,66.41516159536113
151.3671875,-70.55358017606147,155.6558805652909,-25.258502685595992,67.23780623775156
152.587890625,-71.05875018204691,147.21410393406833,-23.818369705952094,75.5279325936679
153.80859375,-76.07961498556347,145.53126017853998,-24.876362647018674,83.63062288377296
155.029296875,-83.20124561272505,21.668064348709077,-26.999871008202252,97.14579724279396
156.25,-76.61231556172737,81.07355163054072,-29.608846170356635,127.21033002521537
157.470703125,-72.3508387445756,99.28282105271947,-28.882287235443712,1.195696863109547
158.69140625,-71.27186852729406,107.1689775788186,-26.099700642140622,12.415865347706612
159.912109375,-73.1297398862792,113.27958195851922,-25.874344365383813,179.11575570685477
161.1328125,-77.56963105442186,119.77360891539229,-26.109764468783602,161.2454147957219
162.353515625,-85.95448615988337,125.8676705209795,-27.27927460829552,141.42142860932222
163.57421875,-89.75617277381991,65.08953147882364,-30.815709756878956,101.11410254861276
164.794921875,-80.52925164862556,89.18172832702628,-30.368227832815094,17.73503081325528
166.015625,-79.1651044057389,92.22453734187573,-26.12795548452325,163.37410149058869
167.236328125,-87.41157547643346,53.95691606740857,-26.810352767553397,149.03491864985824
168.45703125,-80.35995923064617,118.58633982521611,-29.47553342577022,115.9199003896511
169.677734375,-75.6339862517673,110.78304415891385,-29.73865242832922,74.39351051116111
170.8984375,-74.27060880241295,109.94836872022535,-30.76865323324452,33.400634663975794
172.119140625,-75.02320278414155,98.88926294757287,-29.780377783178537,169.6293717742779
173.33984375,-78.20878371727689,78.73264616582864,-30.435484613617888,145.27706056486767
174.560546875,-80.98855297264448,47.902246032923415,-33.251641658327536,134.3584741234825
175.78125,-83.5956174399652,38.20097497495112,-35.52735744892533,15.33394860068463
177.001953125,-87.21724693833183,115.2328835019113,-26.407916282150666,64.86893991066613
178.22265625,-78.69142500516331,162.97046644164132,-22.33021934589049,72.5692386060163
179.443359375,-73.40113703761008,179.7034453173624,-22.001676298326515,78.63696642849456
